video_id,title,views,likes,comments,publish_days,subscribers
XMBito2cxyo,這周的多米王雜談,4749,81,5,1056,181000
LTlgaZ6hWuA,第一屆尷尬王大賽,11846,164,33,1099,181000
vESpeGF3uOA,這周的不臭人雜談,6853,136,21,1077,181000
IyRY1UAX1Hk,兩萬訂閱紀念之大尾雜談,10067,280,32,1141,181000
Tl2k8XqvstE,雜談還被騙,12968,256,36,1161,181000
o45KzxZ86U0,無聊直播,4793,119,5,658,181000
O7kM6c46dlQ,這周的究極雜談,4354,78,9,1210,181000
T8_cEOyM2Q8,終於把沙發換掉之吃晚餐雜談,4329,80,2,640,181000
l6n89UsyvJ8,親身經歷的最恐鬼故事-女粉抱抱魔【都市傳說】,41916,1897,208,855,181000
AxLVhTSU9rA,這周發不出影片的無業遊民雜談,4912,91,8,1065,181000
SgJtBqyBGo8,多米水雜談 看看對方直播說了什麼,44120,1119,29,0,181000
REQHJVF6hi0,多米幫你解決煩惱call in直播,6536,125,5,895,181000
mx0BkUwWnqg,周末晚上就是要陪多米雜談,9184,188,10,377,181000
cWltEZl_TW0,工作臺 做做癢片,4133,81,2,590,181000
wN2DTLYq0rI,我有重要的事情要跟大家說,67412,2614,342,196,181000
-CD1pJjCxIs,多米幫你解決煩惱call in直播 下,8724,150,15,895,181000
58Oja9qqPAA,這周的多米終極雜談,5745,79,3,588,181000
iYvYWT1KrdQ,call in臺之陪多米聊天,8210,189,11,188,181000
ZZQkcJmTsjU,這周的多米究極雜談,7012,106,15,609,181000
i9ZjjZLOGco,被腰斬後反而大受歡迎！化為迷因的熱血大便作『弩RETRY』,269527,6884,493,344,181000
nwKVTYPqbxU,一碗芒果冰900塊⁉︎實測日本的台灣祭有沒有把遊客當盤子！,124798,5621,640,99,181000
4mIq4hQHR4U,【死神】死神最弱卍解排行！！,229040,2225,337,1653,181000
e0JmZWR7GRY,多米水雜談ー去看獵人舞台劇 被警察抓,36758,608,54,574,181000
uaG0lo5ggno,人氣網紅請失聯多年的姐姐吃年菜 姐弟對話令全台暖心,109018,4057,525,351,181000
f7AE2q0cOLk,剪片好痛苦  工作臺,8660,189,5,332,181000
By3ns_8zpvw,專門靠邀別人的直播2,6260,125,3,139,181000
6xEsMz0Roi0,辱華神作？毛澤東復活取代習近平的漫畫『小泉麻將傳說』！,256544,9078,1683,197,181000
0SCKAqGXMNk,鋼之鍊金術師真人版有多爛？洗高分、毀原作樣樣來！,327565,4932,349,1177,181000
qUqKBgC9VoQ,【Vlog】大尾youtuber的一天,68628,2124,210,1240,181000
6RJ9Bg4S8Bs,狂往女生臉上噴汁的大便作！有夠變態的『天才料理少年 味之助』！！,188286,4975,486,512,181000
0dz-9rECzgI,【死神】久保帶人的黑歷史？化為大便作的「ZOMBIE POWDER」！！,168793,3870,276,813,181000
362OgdAHKuc,第一次玩麥塊 我要打倒仲介龍!! 挖鑽石篇【minecraft】,4611,111,5,448,181000
w0UYvRSRd0Y,Jump史上最受喜愛的腰斬漫畫？成為傳說的「LIGHT WING」！！,221298,4526,298,883,181000
s5wl2EHHaew,專門靠邀別人的直播,5689,109,4,139,181000
JcwlrFFXF7A,父子感人重逢！教我爸四個超實用日文句子！,52274,2364,229,288,181000
bmJfF0VB92w,周毅的桃園三結義,8293,211,33,2543,181000
X3Wd1XCAjZM,女高中生跟兔子選哪個？給小女生看的超狂動漫！【寶石寵物sunshine】,160368,4190,223,1282,181000
2-Pa6RqL5u4,無聊多米聊聊天,12109,196,3,98,181000
GLImwlK7Esg,【細思極恐】人類不願面對的大便真相|老高高 Mr Gaogao,88955,5598,614,542,181000
GG1eoybXLOg,女生就喜歡會伸張正義的男人！【逆轉裁判】#2,6790,104,10,1028,181000
rv9o9AmCXaw,好久不見 又來靠邀別人了,8656,167,7,218,181000
UK9ezld7pkg,搞笑藝人被強迫跟超正女星告白！場面超尷尬！(中文字幕）,1637495,18600,781,1606,181000
J6oQAbTfu7o,日檢N1滿分的六原教大家如何準備日文檢定,14971,552,52,2107,181000
QhbJvL2r8nE,這周的多米臭臭雜談,9844,179,7,63,181000
OVYZ6hJXFJw,進擊的巨人真人版〇片徹底解說！,89990,2894,234,666,181000
9ijiYdDj6cY,劈六腿、女高中生⋯ 日本人氣藝人的外遇事件！！,152288,3495,266,1058,181000
Vsc3ju6ulPc,玩玩二選一+多米雜談7/1,19735,300,25,539,181000
C1Lj9K_vItk,日本綜藝史上最狂節目？！差點鬧出人命的「電波少年」事件！！,511318,10545,636,687,181000
i_fVUtAfC2U,臭豆腐、地瓜球？！五條悟第一次體驗台灣夜市！,52326,2068,241,225,181000
QdCw9dqJcHE,開會吵架！哥哥生氣摔百萬獎牌，弟弟當場爆哭【米氏兄弟】整人PRANK,83197,3715,648,379,181000
sTzRzK0HMgk,絕對不半途而廢的艾爾登法環！！day8,11230,123,2,172,181000
7zoWBXzBTiA,漫畫史上最強的男人！史詩級的超狂神作『地表上最強的男人 龍』！！,269696,6391,688,596,181000
KFOk5MEFl8w,哈利波特真人版〇片徹底解說！,102750,3264,158,633,181000
QnglQfL4BNw,漫畫史上最糞結局？成為傳說的爛尾作品⋯,691273,10259,695,988,181000
x-AQ-dvrB0w,絕對不半途而廢的艾爾登法環！！day6,7255,96,4,176,181000
PZiBxqYZnes,80人訂閱紀念之腿毛大放送,2895,121,24,1667,181000
YfUFQRs9iaI,好久不見 這週的多米吃瓜雜談,6936,139,5,274,181000
2UG3pvSMJdg,本世紀最辣雞的遊戲？！,17513,639,43,1700,181000
JpjAp4_jaUM,無聊雜談台,7592,139,20,508,181000
YEk-1iqllV0,里維兵長跟米卡莎有一腿？！徹底解說進擊的巨人真人版爛在哪裡！,278382,5633,406,1205,181000
EyBZ-VGm8HI,終於請到大尾youtuber？！,65471,2603,235,1043,181000
4rHnKR_CPb4,人氣網紅賣的東西好吃嗎？多米超中肯評測！,51955,2267,219,722,181000
HGS56YM3lX4,大尾youtuber都來call in的雜談 香草奈洛 米瓜,13980,235,48,1119,181000
lxR0F_f42Zw,白色情人節給大家做巧克力 啾啾～❤️❤️,8941,243,19,1008,181000
jeUBBc0TqOE,拍抖音的智障 #shorts #男神小哥哥#網路人妖,29383,1525,108,834,181000
I4GFpUVAcBM,【勇敢面對】跟高中喜歡的女生把話說清楚⋯,79189,2578,230,239,181000
-8CgGNEolHs,賄賂日本人吃台灣零食 叫他帶我去瑟瑟的店！,54199,2078,233,176,181000
-q43XaifaPg,玩神作女神異聞錄4！覺醒體內神奇的力量！,4579,95,2,426,181000
Bcnwraltc7U,人心險惡 聊聊我的心情-多米水雜談ep3,76005,1913,115,549,181000
IVSr0jDcXb4,多米雜談 ep201 最喜歡的一句歌詞,6250,107,5,763,181000
x4sxtBncyNI,玩健身環成為肌肉棒子！！,4907,103,9,622,181000
